Product URL,Product Name,Product Price,Rating,Number of Reviews,Description,ASIN,Manufacturer
https://www.amazon.in/Gear-LOGI-Q-Resistant-Backpack-Teal-Yellow/dp/B0BTJ3QQJM,Gear LOGI-Q 27L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women (Teal-Yellow),₹661.75,3.0,5,N/A,N/A,N/A
https://www.amazon.in/Wildcraft-Nylon-Travel-Duffle-11550/dp/B075T81DVW,Wildcraft Nylon 7 inch Green Travel Duffle (11550),₹891,4.3,18,N/A,N/A,N/A
https://www.amazon.in/Safari-Overnighter-Expandable-Travelling-All-Purpose/dp/B097JN1VZX,"Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack with RainCover (Blue), Water Resistant Spacious Bag pack for Travelling and Camping, All-Purpose Bag for Business & Travel","₹2,039",4.4,199,N/A,N/A,N/A
https://www.amazon.in/Wildcraft-Backpack-Pacto-4-0-Black/dp/B0C4Y9SBW2,"Wildcraft Laptop Backpack Pacto 4.0 Plus (Black, Grey)","₹3,495",3.0,1,N/A,N/A,N/A
https://www.amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ5XY31,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,₹819,3.9,10096,N/A,N/A,N/A
https://www.amazon.in/Wildcraft-Ltrs-Casual-Backpack-11650-Red/dp/B079DTDN1J,Wildcraft 29 Ltrs Red Casual Backpack (11650-Red),₹969,4.1,225,Buy Wildcraft 29 Ltrs Red Casual Backpack (11650-Red) from Casual Backpacks at Amazon.in. 30 days free exchange or return,N/A,BoxWish
https://www.amazon.in/PUMA-Laptop-Backpack-IND-Red-Peacoat/dp/B08BTPS12W,Puma unisex-adult PUMA Laptop Backpack IND III Puma Red-Peacoat Laptop,"₹1,025",2.9,30,N/A,N/A,N/A
https://www.amazon.in/Wildcraft-Solid-Backpack-Navy-11911/dp/B07ZJ79ZCJ,Wildcraft WC 2 Solid Backpack Navy (11911),"₹1,374",4.1,190,N/A,N/A,N/A
https://www.amazon.in/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=ent1X&content-id=amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403:amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_p=f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_r=3P1Z72QQ8P1Z7VR8HDM3&pd_rd_wg=dc9sO&pd_rd_r=967dde1e-3e45-4092-ba1d-96c54f92df2f&qid=1692705043,N/A,N/A,N/A,bags for girls,N/A,N/A,N/A
https://www.amazon.in/gp/help/customer/display.html?nodeId=201889520,N/A,N/A,N/A,or,N/A,N/A,N/A
